epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,2476.42,0.50688,0.29001,0.93283,0.93133,0.88659,0.9266,0.70971,0.50161,0.26174,0.90432,0.006436,0.006436,0.006436
74,2510.21,0.50551,0.29042,0.9351,0.92754,0.88953,0.92725,0.71011,0.50081,0.2616,0.90274,0.0063865,0.0063865,0.0063865
75,2544.1,0.50731,0.29024,0.93774,0.92452,0.88549,0.92506,0.70854,0.50371,0.26155,0.90887,0.006337,0.006337,0.006337
76,2577.84,0.50368,0.28794,0.93139,0.92282,0.8879,0.92631,0.70908,0.50386,0.26041,0.90524,0.0062875,0.0062875,0.0062875
77,2611.71,0.5025,0.28788,0.93384,0.89644,0.89884,0.92057,0.70922,0.50423,0.26068,0.90489,0.006238,0.006238,0.006238
78,2645.45,0.50297,0.28436,0.93616,0.89811,0.89724,0.92035,0.71187,0.50543,0.26104,0.90597,0.0061885,0.0061885,0.0061885
79,2679.27,0.50213,0.28469,0.93406,0.90129,0.89862,0.91855,0.71451,0.50497,0.26162,0.90851,0.006139,0.006139,0.006139
80,2713.06,0.50018,0.28417,0.93093,0.90218,0.90143,0.92081,0.71455,0.50533,0.2597,0.9052,0.0060895,0.0060895,0.0060895
81,2746.87,0.50048,0.28678,0.93887,0.90388,0.89752,0.91831,0.71534,0.50505,0.25739,0.91125,0.00604,0.00604,0.00604
82,2780.77,0.49817,0.28356,0.93302,0.90835,0.89305,0.91669,0.71563,0.50507,0.25626,0.91299,0.0059905,0.0059905,0.0059905
83,2814.61,0.50032,0.28529,0.92969,0.90731,0.90192,0.91986,0.71821,0.50493,0.25627,0.90872,0.005941,0.005941,0.005941
84,2848.48,0.49851,0.28398,0.93027,0.91551,0.89888,0.92064,0.7164,0.50443,0.25415,0.90643,0.0058915,0.0058915,0.0058915
85,2882.37,0.49389,0.27983,0.9316,0.91241,0.90506,0.92105,0.71663,0.50393,0.25368,0.90758,0.005842,0.005842,0.005842
86,2916.13,0.4989,0.28554,0.93461,0.90976,0.90588,0.92032,0.7165,0.50322,0.25365,0.90825,0.0057925,0.0057925,0.0057925
87,2950.2,0.4982,0.28148,0.93429,0.91571,0.9022,0.92243,0.71585,0.50272,0.25268,0.90897,0.005743,0.005743,0.005743
88,2984.05,0.49687,0.27996,0.93415,0.91567,0.90247,0.92085,0.71759,0.50347,0.25249,0.91021,0.0056935,0.0056935,0.0056935
89,3017.85,0.49348,0.27973,0.93092,0.91566,0.90044,0.92071,0.71787,0.5032,0.25307,0.91029,0.005644,0.005644,0.005644
90,3051.71,0.49466,0.28064,0.93209,0.91302,0.89884,0.91971,0.71962,0.50342,0.25255,0.91049,0.0055945,0.0055945,0.0055945
91,3085.62,0.49366,0.27863,0.93099,0.90335,0.8991,0.91944,0.7188,0.50274,0.25339,0.90811,0.005545,0.005545,0.005545
92,3119.54,0.49394,0.27827,0.92895,0.90205,0.89883,0.92078,0.7188,0.50281,0.25362,0.90759,0.0054955,0.0054955,0.0054955
93,3153.33,0.49131,0.27691,0.92769,0.90299,0.90004,0.92094,0.71878,0.50258,0.25328,0.90658,0.005446,0.005446,0.005446
94,3187.22,0.49152,0.27589,0.92933,0.90557,0.90069,0.92002,0.71836,0.50214,0.25281,0.90472,0.0053965,0.0053965,0.0053965
95,3221.34,0.49079,0.27678,0.92873,0.90546,0.90044,0.92109,0.71951,0.50218,0.25305,0.90382,0.005347,0.005347,0.005347
96,3255.24,0.49252,0.27633,0.9289,0.90359,0.89948,0.92081,0.72008,0.50184,0.25249,0.90165,0.0052975,0.0052975,0.0052975
97,3289.07,0.4899,0.27471,0.93044,0.90636,0.90247,0.92127,0.7202,0.50175,0.25184,0.9006,0.005248,0.005248,0.005248
98,3322.95,0.48996,0.27481,0.92753,0.90784,0.90233,0.92144,0.72038,0.50174,0.25108,0.90007,0.0051985,0.0051985,0.0051985
99,3356.87,0.48895,0.27375,0.92671,0.90776,0.90287,0.91974,0.71976,0.50165,0.25068,0.90003,0.005149,0.005149,0.005149
100,3390.66,0.48951,0.27368,0.92822,0.90538,0.90298,0.92222,0.72049,0.50144,0.2505,0.90022,0.0050995,0.0050995,0.0050995
101,3424.59,0.48645,0.27128,0.92655,0.90918,0.89996,0.92044,0.72016,0.50158,0.25097,0.9001,0.00505,0.00505,0.00505
102,3458.43,0.48529,0.27145,0.92119,0.9089,0.89844,0.9228,0.72023,0.50144,0.25041,0.89937,0.0050005,0.0050005,0.0050005
