epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,2769.22,0.36331,0.677,0.11892,0.25086,0.83024,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005348,0.0005348,0.0005348
76,2804.91,0.36341,0.66747,0.11458,0.25339,0.83243,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000515,0.000515,0.000515
77,2840.3,0.37378,0.68815,0.11184,0.25715,0.82919,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004952,0.0004952,0.0004952
78,2875.72,0.35333,0.67269,0.11236,0.24779,0.83198,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004754,0.0004754,0.0004754
79,2911.42,0.35804,0.6768,0.10446,0.2556,0.83033,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004556,0.0004556,0.0004556
80,2946.94,0.35366,0.64607,0.10432,0.24651,0.82937,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004358,0.0004358,0.0004358
81,2982.38,0.34213,0.61232,0.10646,0.24155,0.8202,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000416,0.000416,0.000416
82,3017.98,0.34552,0.63487,0.10685,0.2413,0.8231,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003962,0.0003962,0.0003962
83,3053.95,0.34022,0.57078,0.10946,0.23809,0.81973,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003764,0.0003764,0.0003764
84,3089.4,0.33465,0.61848,0.11193,0.23429,0.82867,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003566,0.0003566,0.0003566
85,3125.45,0.33528,0.56083,0.09633,0.23309,0.81895,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003368,0.0003368,0.0003368
86,3161.21,0.34163,0.56971,0.10163,0.23246,0.82154,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000317,0.000317,0.000317
87,3197.34,0.32694,0.55746,0.09923,0.22798,0.82198,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002972,0.0002972,0.0002972
88,3233.3,0.32505,0.57265,0.09489,0.22626,0.8209,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002774,0.0002774,0.0002774
89,3269.46,0.32244,0.59848,0.10723,0.2275,0.82722,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002576,0.0002576,0.0002576
90,3305.49,0.32349,0.55775,0.09919,0.22743,0.80823,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002378,0.0002378,0.0002378
91,3340.07,0.28007,0.35484,0.0219,0.1909,0.78603,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000218,0.000218,0.000218
92,3374.71,0.27527,0.34583,0.01968,0.18952,0.79236,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001982,0.0001982,0.0001982
93,3409.23,0.27281,0.32106,0.02052,0.18654,0.79625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001784,0.0001784,0.0001784
94,3443.73,0.26111,0.30852,0.01727,0.18043,0.78633,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001586,0.0001586,0.0001586
95,3478.12,0.26322,0.30045,0.01588,0.17951,0.77555,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001388,0.0001388,0.0001388
96,3512.63,0.25188,0.31212,0.01585,0.17844,0.77877,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000119,0.000119,0.000119
97,3547.31,0.25376,0.29008,0.01549,0.17029,0.78328,0,0,0,0,0,0,0,0,0,0,0,0,0,9.92e-05,9.92e-05,9.92e-05
98,3582.31,0.25622,0.29529,0.01564,0.17184,0.78572,0,0,0,0,0,0,0,0,0,0,0,0,0,7.94e-05,7.94e-05,7.94e-05
99,3617.12,0.24874,0.28743,0.01725,0.17096,0.78542,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96e-05,5.96e-05,5.96e-05
100,3662.97,0.2478,0.27973,0.01741,0.16727,0.78512,0.99974,1,0.995,0.97873,0.99974,1,0.995,0.96758,0.2524,0.27057,0.00693,0.15435,0.76505,3.98e-05,3.98e-05,3.98e-05
