epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,12799.3,0.85963,0.55156,1.03241,0.91643,0.87802,0.93336,0.72422,0.90229,0.50184,1.10442,0.005644,0.005644,0.005644
90,12942.9,0.85748,0.55015,1.03292,0.91113,0.88683,0.93363,0.72397,0.90223,0.50177,1.10458,0.0055945,0.0055945,0.0055945
91,13086.6,0.85287,0.5479,1.03205,0.91488,0.88244,0.93361,0.72422,0.90221,0.50235,1.10469,0.005545,0.005545,0.005545
92,13230.4,0.85097,0.5433,1.02778,0.91342,0.88369,0.93402,0.72494,0.90225,0.50235,1.10504,0.0054955,0.0054955,0.0054955
93,13374.1,0.85231,0.5449,1.02905,0.91523,0.8815,0.93417,0.72437,0.90179,0.50224,1.10459,0.005446,0.005446,0.005446
94,13518.1,0.84865,0.54358,1.02706,0.90625,0.88937,0.93348,0.72377,0.90123,0.50179,1.10425,0.0053965,0.0053965,0.0053965
95,13662.3,0.84935,0.54202,1.02876,0.91478,0.88255,0.93321,0.72411,0.9007,0.50208,1.10406,0.005347,0.005347,0.005347
96,13806.3,0.84605,0.54179,1.02597,0.91495,0.88101,0.93286,0.72432,0.9,0.50147,1.10375,0.0052975,0.0052975,0.0052975
97,13949.6,0.84962,0.5434,1.02646,0.90754,0.8893,0.93308,0.72485,0.89991,0.50189,1.10348,0.005248,0.005248,0.005248
98,14092.9,0.84548,0.54093,1.02676,0.90838,0.89054,0.93267,0.72499,0.89955,0.50173,1.10337,0.0051985,0.0051985,0.0051985
99,14236.3,0.84083,0.53779,1.02313,0.90982,0.88956,0.93254,0.72526,0.90006,0.50197,1.10361,0.005149,0.005149,0.005149
100,14380.1,0.84098,0.53578,1.02156,0.91521,0.88519,0.93204,0.72568,0.89982,0.50163,1.10347,0.0050995,0.0050995,0.0050995
101,14523.5,0.83793,0.5351,1.02245,0.91663,0.88428,0.93176,0.72513,0.89917,0.50234,1.1032,0.00505,0.00505,0.00505
102,14667.5,0.84191,0.53532,1.02273,0.91666,0.88466,0.93119,0.72484,0.89943,0.50198,1.1039,0.0050005,0.0050005,0.0050005
103,14811.3,0.84049,0.53548,1.02303,0.91135,0.8877,0.93124,0.72589,0.89805,0.5016,1.10256,0.004951,0.004951,0.004951
104,14954.6,0.83791,0.53118,1.02195,0.91123,0.88776,0.93118,0.72513,0.89704,0.50137,1.10172,0.0049015,0.0049015,0.0049015
105,15097.4,0.83562,0.53062,1.02253,0.91144,0.88743,0.93123,0.72552,0.8966,0.50093,1.10144,0.004852,0.004852,0.004852
106,15240.6,0.83621,0.53223,1.01926,0.91268,0.8874,0.93146,0.72576,0.89615,0.50053,1.10127,0.0048025,0.0048025,0.0048025
107,15383.3,0.83631,0.52832,1.02017,0.91335,0.88397,0.93054,0.72586,0.89626,0.49977,1.10191,0.004753,0.004753,0.004753
108,15527,0.83019,0.52821,1.01797,0.91507,0.88173,0.92994,0.72584,0.895,0.49976,1.10086,0.0047035,0.0047035,0.0047035
109,15670.5,0.82773,0.52499,1.01646,0.91567,0.88114,0.92971,0.72561,0.8949,0.49974,1.1006,0.004654,0.004654,0.004654
110,15814.3,0.82927,0.52944,1.01805,0.91116,0.8826,0.92964,0.72531,0.89432,0.49971,1.10028,0.0046045,0.0046045,0.0046045
111,15957.7,0.82815,0.52267,1.01649,0.91049,0.8892,0.93001,0.72546,0.89403,0.49913,1.10005,0.004555,0.004555,0.004555
112,16101.1,0.82907,0.52157,1.01725,0.91,0.89033,0.93025,0.72587,0.89421,0.49968,1.10019,0.0045055,0.0045055,0.0045055
113,16244.1,0.82392,0.51922,1.01409,0.90903,0.891,0.93003,0.72579,0.89449,0.50005,1.10028,0.004456,0.004456,0.004456
114,16387.4,0.82419,0.5206,1.01344,0.90825,0.89018,0.92979,0.7251,0.89493,0.50016,1.10058,0.0044065,0.0044065,0.0044065
